Frequency (Hz),Level (dB)
43.066406,-42.081505
86.132812,-37.704323
129.199219,-35.423061
172.265625,-29.995316
215.332031,-24.170092
258.398438,-21.702955
301.464844,-30.587255
344.53125,-37.462204
387.597656,-39.876564
430.664062,-37.461411
473.730469,-26.636599
516.796875,-26.385609
559.863281,-37.104969
602.929688,-41.845985
645.996094,-43.45591
689.0625,-38.947735
732.128906,-29.897139
775.195312,-32.445744
818.261719,-46.720032
861.328125,-50.367325
904.394531,-46.019657
947.460938,-36.607014
990.527344,-30.756357
1033.59375,-35.851665
1076.660156,-46.957592
1119.726562,-46.288582
1162.792969,-48.563019
1205.859375,-34.457767
1248.925781,-30.951674
1291.992188,-38.526535
1335.058594,-45.892475
1378.125,-45.655991
1421.191406,-45.384468
1464.257812,-43.271023
1507.324219,-42.437519
1550.390625,-43.358555
1593.457031,-42.6399
1636.523438,-43.406311
1679.589844,-43.984932
1722.65625,-43.104847
1765.722656,-43.659874
1808.789062,-44.051876
1851.855469,-46.003105
1894.921875,-47.71151
1937.988281,-47.076859
1981.054688,-42.913677
2024.121094,-46.278938
2067.1875,-49.448765
2110.253906,-47.883904
2153.320312,-47.579525
2196.386719,-43.865166
2239.453125,-40.712875
2282.519531,-44.805107
2325.585938,-47.610279
2368.652344,-46.674751
2411.71875,-49.598495
2454.785156,-48.216755
2497.851562,-46.655609
2540.917969,-47.73267
2583.984375,-47.352665
2627.050781,-47.256218
2670.117188,-48.459576
2713.183594,-46.296463
2756.25,-46.147137
2799.316406,-46.482491
2842.382812,-46.923634
2885.449219,-47.992905
2928.515625,-48.718075
2971.582031,-46.877468
3014.648438,-48.894199
3057.714844,-51.499805
3100.78125,-50.09428
3143.847656,-48.95031
3186.914062,-49.168198
3229.980469,-48.475704
3273.046875,-49.142826
3316.113281,-51.266155
3359.179688,-51.346283
3402.246094,-51.515953
3445.3125,-50.145584
3488.378906,-50.41993
3531.445312,-49.740829
3574.511719,-51.303974
3617.578125,-51.74361
3660.644531,-52.471546
3703.710938,-52.44706
3746.777344,-50.73584
3789.84375,-53.013664
3832.910156,-54.059246
3875.976562,-53.298676
3919.042969,-54.152843
3962.109375,-53.611618
4005.175781,-54.104652
4048.242188,-55.178341
4091.308594,-54.719044
4134.375,-54.94944
4177.441406,-54.407459
4220.507812,-53.769665
4263.574219,-54.155479
4306.640625,-52.799015
4349.707031,-53.750118
4392.773438,-53.330669
4435.839844,-53.675133
4478.90625,-55.888966
4521.972656,-56.804138
4565.039062,-56.727634
4608.105469,-57.367844
4651.171875,-57.053825
4694.238281,-58.053154
4737.304688,-56.057365
4780.371094,-57.056019
4823.4375,-59.339417
4866.503906,-57.517689
4909.570312,-58.091393
4952.636719,-55.503716
4995.703125,-53.278931
5038.769531,-55.457664
5081.835938,-57.209103
5124.902344,-57.736874
5167.96875,-58.09787
5211.035156,-58.427151
5254.101562,-55.588158
5297.167969,-55.741203
5340.234375,-57.899975
5383.300781,-57.353508
5426.367188,-59.165989
5469.433594,-57.998344
5512.5,-57.208363
5555.566406,-60.325119
5598.632812,-59.409634
5641.699219,-60.395172
5684.765625,-60.277069
5727.832031,-59.825371
5770.898438,-56.639835
5813.964844,-57.150478
5857.03125,-57.395744
5900.097656,-56.981785
5943.164062,-56.185696
5986.230469,-56.501884
6029.296875,-55.938557
6072.363281,-59.141327
6115.429688,-59.875725
6158.496094,-61.732502
6201.5625,-60.73341
6244.628906,-60.26099
6287.695312,-59.558407
6330.761719,-59.690693
6373.828125,-62.45525
6416.894531,-63.124081
